PMID,Title,Abstract,Journal,Language,Year,Month,Day,Authors,Keywords,DOI
32916249,Integrated control of COVID-19 in resource-poor countries.,"Low- and middle-income countries (LMICs) face many challenges in controlling COVID-19. Healthcare resources are limited and so are ICU beds. RT-PCR testing is conducted on a limited scale and treatment options are few. There is no vaccine. Therefore, what low-cost solutions remain for the prevention, diagnosis, and treatment of SARS-CoV-2? How should these essential health services be delivered in order to reach the most vulnerable in our societies? In this editorial we discuss several important strategies for controlling COVID-19 including: vaccination, molecular and serological diagnostics, hygiene and WaSH interventions, and low-cost therapeutics. We also discuss the delivery of such services in order to reach the most in need. The proposed integrated control strategy requires immediate action and political will in order to reduce the widening health inequalities caused by the pandemic.",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,eng,2020,12,,Aziz Asma B; Raqib Rubhana; Khan Wasif A; Rahman Mahbubur; Haque Rashidul; Alam Munir; Zaman K; Ross Allen G,SARS-CoV-2; control; diagnostics; hygiene; therapeutics; vaccination,10.1016/j.ijid.2020.09.009
35576549,Petroleum jelly and COVID-19 prevention.,"Since the ongoing pandemic of COVID-19, caused by SARS-CoV-2, has had a significant impact on public health and, also the clinical benefits of the medications are so limited, preventive measures may be able to help control its spread. Because the petroleum jelly compound could alter the physicochemical properties that affect adhesion, we investigated the preventive role of Petroleum jelly on covid-19 infection. Forty people with no sign and no history of covid-19 infection, were included in this study. They use petroleum jelly (Vaseline) nasally twice a day for about two months. After that time, participants tested by RT-qPCR to determine any infection with SARS-CoV-2 virus. There was a significant difference in terms of RT-qPCR results between the intervention and control groups. Petroleum jelly may be effective in preventing covid-19 infection (Tab. 2, Fig. 1, Ref. 13). Keywords: COVID-19, pandemic, reverse transcriptase polymerase chain reaction, public health.",Bratislavske lekarske listy,eng,2022,,,Yaghmouri Pedram; Abdolahi Alina; Sedighiani Fawzia,No Keywords,10.4149/BLL_2022_071
32703064,COVID-19 - Recent advancements in identifying novel vaccine candidates and current status of upcoming SARS-CoV-2 vaccines.,"The COVID-19 pandemic caused by SARS-CoV-2 has spread rapidly. To date, countries have relied on the prevention of the disease through isolation, quarantine, and clinical care of affected individuals. However, studies on the roles of asymptomatic and mildly infected subjects in disease transmission, use of antiviral drugs, and vaccination of the general population will be very important for mitigating the effects of the eventual return of this pandemic. Initial investigations are ongoing to evaluate antigenic structures of SARS-CoV-2 and the immunogenicity of vaccine candidates. There also is a need to comprehensively compile the details of previous studies on SARS-related vaccines that can be extrapolated to identify potent vaccine targets for developing COVID-19 vaccines. This review aims to analyze previous studies, current status, and future possibilities for producing SARS-CoV-2 vaccines.",Human vaccines & immunotherapeutics,eng,2020,12,01,Iqbal Yatoo Mohd; Hamid Zeenat; Parray Oveas Rafiq; Wani Aasim Habib; Ul Haq Abrar; Saxena Archana; Patel Shailesh Kumar; Pathak Mamta; Tiwari Ruchi; Malik Yashpal Singh; Sah Ranjit; Rabaan Ali A; Rodriguez Morales Alfonso J; Dhama Kuldeep,COVID-19; SARS-CoV-2; pandemic; vaccines,10.1080/21645515.2020.1788310
33666912,Diagnostic Testing for COVID-19: Systematic Review of Meta-Analyses and Evidence-Based Algorithms.,"Coronavirus Disease-19 (COVID-19), a disease caused by infection with the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), is a global pandemic. Diagnosis is critical and diagnostic techniques include reverse transcriptase polymerase chain reaction (RT-PCR), serologic antibody testing, and chest computed tomography (CT). Despite rigorous meta-analyses looking into these techniques, there is no summary and additionally no algorithm to help guide diagnostic testing. Our objective is to perform a systematic review of the literature and to provide evidence-based algorithms for diagnosing or ruling out COVID-19. Data were gathered using PubMed and Ovid research databases using a predefined medical subject heading (MeSH) based search, and sources that were included in the study had their references reviewed to screen for more sources for this study. Sources were collected up to 23 August 2020. Two researchers searched through the databases for articles and data/articles meeting inclusion criteria were extracted. 395 articles were identified, and 10 studies were included. Meta-analyses of diagnostic tests were included in our systematic review. An overview was then provided for each diagnostic test. Sensitivities and specificities for RT-PCR, serologic antibody tests and chest CT were collected, and the data was stratified by categorical variables. Two evidence-based algorithms were developed for symptomatic and asymptomatic patients in the hospitalized and ambulatory settings. This article provides a summary of the up-to-date efficacy of the most utilized diagnostic tests currently available for COVID-19. Additionally, this article provides evidence-based COVID-19 diagnostic algorithms for symptomatic and asymptomatic patients in the hospitalized and ambulatory settings.","Medical journal (Fort Sam Houston, Tex.)",eng,2021,,,Johnson Theodore; Bishoff Tanner; Kremsreiter Kaleb; Lebanc Austin; Camacho Macario,COVID-19; RT-PCR; antibody; chest CT; meta-analysis,No DOI
33689569,Road toward universal COVID-19 testing method - A review.,"Patients infected with novel coronavirus exhibit a wide range of symptoms from common cold to pneumonia. Furthermore, several cases have been reported as asymptomatic across the globe. Since there are no conclusive clinical manifestations, clinicians have to rely more on laboratory diagnostic methods for confirmation of coronavirus disease. Hematological and biochemical tests are found to be of more prognostic value. Genetic assays by means of rRT-PCR technique is time-consuming but seems to be a more sensitive and specific test among the available testing methods for diagnosis of the coronavirus disease. Radiological imaging of the CT chest of the confirmed positive patients taken during the initial few days doesn't show any significant changes. However, from the second week onward a ground glass lesion pattern is observed. The immunological tests which are being used as a rapid testing method are found to be more false test negative. Hence, based on the effectiveness of various testing methods, it can be concluded that either rRT-PCR or mass antibody testing has to be done, and it has to be compared with CT chest in order to avoid false negatives across the globe which may help in the prevention of community spread of the disease.",Journal of immunoassay & immunochemistry,eng,2021,07,04,Abdul Bari Ahamed Basha; Samuel Prince Johnson,COVID-19; Diagnostic tests; Point of care testing,10.1080/15321819.2021.1895214
34287238,Coronavirus Disease 2019 (COVID-19) Diagnostic Tools: A Focus on Detection Technologies and Limitations.,"The ongoing coronavirus disease (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) poses a severe threat to human health and the global economy and has resulted in overwhelming stress on health care systems worldwide. Despite the global health catastrophe, especially in the number of infections and fatalities, the COVID-19 pandemic has also revolutionized research and discovery with remarkable success in diagnostics, treatments, and vaccine development. The use of many diagnostic methods has helped establish public health guidelines to mitigate the spread of COVID-19. However, limited information has been shared about these methods, and there is a need for the scientific community to learn about these technologies, in addition to their sensitivity, specificity, and limitations. This review article is focused on providing insights into the major methods used for SARS-CoV-2 detection. We describe in detail the core principle of each method, including molecular and serological approaches, along with reported claims about the rates of false negatives and false positives, the types of specimens needed, and the level of technology and the time required to perform each test. Although this study will not rank or prioritize these methods, the information will help in the development of guidelines and diagnostic protocols in clinical settings and reference laboratories.",Current issues in molecular biology,eng,2021,07,20,Qasem Ahmad; Shaw Ameera M; Elkamel Erij; Naser Saleh A,COVID-19; FICA; LAMP; PCR; SARS-CoV-2; diagnostic tools; mNGS; pandemics,10.3390/cimb43020053
33199136,In-line treatments and clinical initiatives to fight against COVID-19 outbreak.,"In December 2019, when the whole world is waiting for Christmas and New Year, the physicians of Wuhan, China, are astounded by clusters of patients suffering from pneumonia from unknown causes. The pathogen isolated from the respiratory epithelium of the patients is similar to previously known coronaviruses with some distinct features. The disease was initially called nCoV-2019 or SARS-nCoV-2 and later termed as COVID-19 by WHO. The infection is rapidly propagating from the day of emergence, spread throughout the globe and now became a pandemic which challenged the competencies of developed nations in terms of health care management. As per WHO report, 216 countries are affected with SARS-CoV-19 by August 5, 2020 with 18, 142, 718 confirmed cases and 691,013 deaths reports. Such huge mortality and morbidity rates are truly threatening and calls for some aggressive and effective measures to slow down the disease transmission. The scientists are constantly engaged in finding a potential solution to diagnose and treat the pandemic. Various FDA approved drugs with the previous history of antiviral potency are repurposed for COVID-19 treatment. Different drugs and vaccines are under clinical trials and some rapid and effective diagnostic tools are also under development. In this review, we have highlighted the current epidemiology through infographics, disease transmission and progression, clinical features and diagnosis and possible therapeutic approaches for COVID-19. The article mainly focused on the development and possible application of various FDA approved drugs, including chloroquine, remdesivir, favipiravir, nefamostate mesylate, penciclovir, nitazoxanide, ribavirin etc., vaccines under development and various registered clinical trials exploring different therapeutic measures for the treatment of COVID-19. This information will definitely help the researchers to understand the in-line scientific progress by various clinical agencies and regulatory bodies against COVID-19.",Respiratory medicine,eng,2022,01,,Agrawal Mukta; Saraf Shailendra; Saraf Swarnlata; Murty Upadhyayula Suryanarayana; Kurundkar Sucheta Banerjee; Roy Debjani; Joshi Pankaj; Sable Dhananjay; Choudhary Yogendra Kumar; Kesharwani Prashant; Alexander Amit,COVID-19; Clinical trials; Pandemic; Repurposed medicine; SARS-CoV-2; Vaccine,10.1016/j.rmed.2020.106192
33744904,SARS-CoV-2 Infection and the COVID-19 Pandemic Emergency: The Importance of Diagnostic Methods.,"Currently, a pandemic of coronavirus disease 2019 (COVID-19) caused by the novel coronavirus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is underway, resulting in high morbidity and mortality across the globe. A prompt and effective diagnosis is crucial to identify infected individuals, to monitor the infection, to perform contact tracing, and to limit the spread of the virus. Since the announcement of this public health emergency, several diagnostic methods have been developed including molecular and serological assays, and more recently biosensors. Here, we present the use of these assays as well as their main technical features, advantages, and limits. Key Messages: The development of reliable diagnostic assays is crucial not only for a correct diagnosis and containment of COVID-19 pandemic, but also for the decision-making process that is behind the clinical decisions, eventually contributing to the improvement of patient management. Furthermore, with the advent of vaccine and therapeutic monoclonal antibodies against SARS-CoV-2, serological assays will be instrumental for the validation of these new therapeutic options.",Chemotherapy,eng,2021,,,Ciotti Marco; Benedetti Francesca; Zella Davide; Angeletti Silvia; Ciccozzi Massimo; Bernardini Sergio,Antigen test; Coronavirus disease 2019; Pandemic; Real-time PCR; Serology; Severe acute respiratory syndrome coronavirus 2,10.1159/000515343
33593219,A review on current diagnostic techniques for COVID-19.,"SARS-Cov-2 first appeared in Wuhan, China, in December 2019 and spread all over the world soon after that. Given the infectious nature ofSARS-CoV-2, fast and accurate diagnosis tools are important to detect the virus. In this review, we discuss the different diagnostic tests that are currently being implemented in laboratories and provide a description of various COVID-19 kits. We summarize molecular techniques that target the viral load, serological methods used for SARS-CoV-2 specific antibodies detection as well as newly developed faster assays for the detection of SARS-COV 2 in various biological samples. In the light of the widespread pandemic, the massive diagnosis of COVID-19, using various detection techniques, appears to be the most effective strategy for monitoring and containing its propagation.",Expert review of molecular diagnostics,eng,2021,02,,El Jaddaoui Islam; Allali Malika; Raoui Sanae; Sehli Sofia; Habib Nihal; Chaouni Bouchra; Al Idrissi Najib; Benslima Najwa; Maher Wissal; Benrahma Houda; Hamamouch Noureddine; El Bissati Kamal; El Kasmi Sahar; Hamdi Salsabil; Bakri Youssef; Nejjari Chakib; Amzazi Saaïd; Ghazal Hassan,SARS-COV-2; diagnostic; kits; molecular techniques; serological methods,10.1080/14737159.2021.1886927
32609390,Discharged COVID-19 patients testing positive again for SARS-CoV-2 RNA: A minireview of published studies from China.,"In the ongoing coronavirus disease 2019 (COVID-19) pandemic, one potential cause of concern is that some discharged COVID-19 patients are testing positive again for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) RNA. To better understand what is happening and to provide public health policy planners and clinicians timely information, we have searched and reviewed published studies about discharged patients testing positive again for the SARS-CoV-2 RNA. Our search found 12 reports, all of which described patients in China. Our review of these reports indicates the presence of discharged patients who remain asymptomatic but test positive. However, it is unclear whether they are contagious because a positive reverse transcriptase - polymerase chain reaction (RT- PCR) test does not necessarily indicate the presence of replicating and transmissible virus. Our review suggests the need for timely, parallel testing of different samples, including, for example, fecal specimens, from COVID-19 patients before and after they are discharged from hospitals.",Journal of medical virology,eng,2021,01,,Han Zhiyong; Battaglia Fortunato; Terlecky Stanley R,coronavirus; infection; pathogenesis; reactivation; respiratory tract; shedding; virus classification,10.1002/jmv.26250
38996774,"Recapitulating COVID-19 detection methods: RT-PCR, sniffer dogs and electronic nose.","In December 2019, a number of subjects presenting with an unexplained pneumonia-like illness were suspected to have a link to a seafood market in Wuhan, China. Subsequently, this illness was identified as the 2019-novel coronavirus (2019-nCoV) or severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by the World Committee on Virus Classification. Since its initial identification, the virus has rapidly sperad across the globe, posing an extraordinary challenge for the medical community. Currently, the Reverse Transcriptase Polymerase Chain Reaction (RT-PCR) is considered the most reliable method for diagnosing SARS-CoV-2. This procedure involves collecting oro-pharyngeal or nasopharyngeal swabs from individuals. Nevertheless, for the early detection of low viral loads, a more sensitive technique, such as droplet digital PCR (ddPCR), has been suggested. Despite the high effectiveness of RT-PCR, there is increasing interest in utilizing highly trained dogs and electronic noses (eNoses) as alternative methods for screening asymptomatic individuals for SARS-CoV-2. These dogs and eNoses have demonstrated high sensitivity and can detect volatile organic compounds (VOCs), enabling them to distinguish between COVID-19 positive and negative individuals. This manuscript recapitulates the potential, advantages, and limitations of employing trained dogs and eNoses for the screening and control of SARS-CoV-2.",Diagnostic microbiology and infectious disease,eng,2024,09,,Grizzi Fabio; Bax Carmen; Farina Floriana Maria; Tidu Lorenzo; Hegazi Mohamed A A A; Chiriva-Internati Maurizio; Capelli Laura; Robbiani Stefano; Dellacà Raffaele; Taverna Gianluigi,Biological fluid analysis; Dog smell; Odour fingerprint; SARS-CoV-2; Volatile organic compounds,10.1016/j.diagmicrobio.2024.116430
33622845,Interpreting COVID-19 Test Results in Clinical Settings: It Depends!,"Tests for Coronavirus disease 2019 (COVID-19) are intended for a disparate and shifting range of purposes: (1) diagnosing patients who present with symptoms to inform individual treatment decisions; (2) organizational uses such as ""cohorting"" potentially infected patients and staff to protect others; and (3) contact tracing, surveillance, and other public health purposes. Often lost when testing is encouraged is that testing does not by itself confer health benefits. Rather, testing is useful to the extent it forms a critical link to subsequent medical or public health interventions. Such interventions might be individual level, like better diagnosis, treatment, isolation, or quarantine of contacts. They might aid surveillance to understand levels and trends of disease within a defined population that enables informed decisions to implement or relax social distancing measures. In this article, we describe the range of available COVID-19 tests; their accuracy and timing considerations; and the specific clinical, organizational, and public health considerations that warrant different testing strategies. Three representative clinical scenarios illustrate the importance of appropriate test use and interpretation. The reason a patient seeks testing is often a strong indicator of the pretest probability of infection, and thus how to interpret test results. In addition, the level of population spread of the virus and the timing of testing play critical roles in the positive or negative predictive value of the test. We conclude with practical recommendations regarding the need for testing in various contexts, appropriate tests and testing methods, and the interpretation of test results.",Journal of the American Board of Family Medicine : JABFM,eng,2021,02,,Piltch-Loeb Rachael; Jeong Kyeong Yun; Lin Kenneth W; Kraemer John; Stoto Michael A,COVID-19; Clinical Decision-Making; Contact Tracing; Evidence-Based Medicine; Population Health; Probability; Public Health; Sensitivity and Specificity,10.3122/jabfm.2021.S1.200413
35184764,COVID-19 seroprevalence amongst healthcare workers: potential biases in estimating infection prevalence.,"SARS-CoV-2 serological tests are used to assess the infection seroprevalence within a population. This study aims at assessing potential biases in estimating infection prevalence amongst healthcare workers (HCWs) when different diagnostic criteria are considered. A multi-site cross-sectional study was carried out in April-September 2020 amongst 1.367 Italian HCWs. SARS-CoV-2 prevalence was assessed using three diagnostic criteria: RT-PCR on nasopharyngeal swab, point-of-care fingerprick serological test (POCT) result and COVID-19 clinical pathognomonic presentation. A logistic regression model was used to estimate the probability of POCT-positive result in relation to the time since infection (RT-PCR positivity). Among 1.367 HCWs, 69.2% were working in COVID-19 units. Statistically significant differences in age, role and gender were observed between COVID-19/non-COVID-19 units. Prevalence of SARS-CoV-2 infection varied according to the criterion considered: 6.7% for POCT, 8.1% for RT-PCR, 10.0% for either POCT or RT-PCR, 9.6% for infection pathognomonic clinical presentation and 17.6% when at least one of the previous criteria was present. The probability of POCT-positive result decreased by 1.1% every 10 days from the infection. This study highlights potential biases in estimating SARS-CoV-2 point-prevalence data according to the criteria used. Although informative on infection susceptibility and herd immunity level, POCT serological tests are not the best predictors of previous COVID-19 infections for public health monitoring programmes.",Epidemiology and infection,eng,2022,02,21,Cordioli Maddalena; Mirandola Massimo; Gios Lorenzo; Gaspari Sebastiano; Carelli Maria; Lotti Virginia; Sandri Angela; Vicentini Caterina; Gibellini Davide; Carrara Elena; Tacconelli Evelina; ENACT Working Group,COVID-19; epidemiology; occupation-related infections,10.1017/S0950268822000280
33589798,Diagnostics for SARS-CoV-2 infections.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has spread to nearly every corner of the globe, causing societal instability. The resultant coronavirus disease 2019 (COVID-19) leads to fever, sore throat, cough, chest and muscle pain, dyspnoea, confusion, anosmia, ageusia and headache. These can progress to life-threatening respiratory insufficiency, also affecting the heart, kidney, liver and nervous systems. The diagnosis of SARS-CoV-2 infection is often confused with that of influenza and seasonal upper respiratory tract viral infections. Due to available treatment strategies and required containments, rapid diagnosis is mandated. This Review brings clarity to the rapidly growing body of available and in-development diagnostic tests, including nanomaterial-based tools. It serves as a resource guide for scientists, physicians, students and the public at large.",Nature materials,eng,2021,05,,Kevadiya Bhavesh D; Machhi Jatin; Herskovitz Jonathan; Oleynikov Maxim D; Blomberg Wilson R; Bajwa Neha; Soni Dhruvkumar; Das Srijanee; Hasan Mahmudul; Patel Milankumar; Senan Ahmed M; Gorantla Santhi; McMillan JoEllyn; Edagwa Benson; Eisenberg Robert; Gurumurthy Channabasavaiah B; Reid St Patrick M; Punyadeera Chamindie; Chang Linda; Gendelman Howard E,No Keywords,10.1038/s41563-020-00906-z
36807822,Immune Plasma for the Treatment of COVID-19: Lessons Learned so far.,"COVID-19 convalescent plasma (CCP) has been explored as one of the treatment options for COVID-19. Results of many cohort studies and clinical trials have been recently published. At first glance, the results of the CCP studies appear to be inconsistent. However, it became clear that CCP is not beneficial if CCP with low anti-SARS-CoV-2 antibody concentrations is used, if it is administered late in advanced disease stages, and to patients who already mounted an antibody response against SARS-CoV-2 at the time of CCP transfusion. On the other hand, CCP may prevent progression to severe COVID-19 when very high-titer CCP is given early in vulnerable patients. Immune escape of new variants is a challenge for passive immunotherapy. While new variants of concern developed resistance to most clinically used monoclonal antibodies very rapidly, immune plasma from individuals immunized by both a natural SARS-CoV-2 infection and SARS-CoV-2 vaccination retained neutralizing activity against variants. This review briefly summarizes the evidence on CCP treatment to date and identifies further research needs. Ongoing research on passive immunotherapy is not only relevant for improving care for vulnerable patients in the ongoing SARS-CoV-2 pandemic, but even more as a model for passive immunotherapy in case of future pandemics with a newly evolving pathogen. Compared to other drugs, which must be newly developed in a pandemic (e.g., monoclonal antibodies, antiviral drugs), convalescent plasma is rapidly available, inexpensive to produce, and can be adaptive to viral evolution by selection of contemporary convalescent donors.",Hamostaseologie,eng,2023,02,,Schrezenmeier Hubert; Hoffmann Simone; Hofmann Henrike; Appl Thomas; Jahrsdörfer Bernd; Seifried Erhard; Körper Sixten,No Keywords,10.1055/a-1987-3682
34426120,Current scenario of COVID-19 vaccinations and immune response along with antibody titer in vaccinated inhabitants of different countries.,"The COVID-19 pandemic challenges have been only partially addressed so far. The pathogenicity of SARS-CoV-2 is considered the combination of severe and high infectivity. Herdimmunity is attained when a critical proportion of the population is immune, providing the virus with fewer chances to spread locally. To overcome the rising tide of the COVID-19 pandemic, efficacious and safe vaccines providing defensive and long-lasting immunity responses are urgently needed.Vaccines that induce virus-neutralizing antibodies with great affinity can optimally fight against infection. Worldwide, over 120 novel vaccine candidates, including live-attenuated, inactivated, viral-vectored nonreplicating and replicating, peptide- and protein-based, and nucleic acid-based approaches are in the process of preclinical and clinical trials (phase 1-4). In addition to comprehensive safety assessments and immune responses, precise clinical management is also important for trials of vaccines. The recent emergence of different variants of SARS-CoV-2 is becoming a new threat for the world and a challenge for scientists to introduce the most influential vaccine against COVID-19. The possibility of natural and vaccine-induced immunity in variants finds it necessary to establish next-generation vaccines, which generate general neutralization against existing and future variants. Here, we summarize the cellular and humoral responses of SARS-CoV-2, current progress in vaccination development, the antibody titer response of available phase 4 vaccinations in vaccinated populations of different countries worldwide, and the success and challenges ahead of vaccine development.",International immunopharmacology,eng,2021,10,,Hussain Asim; Rafeeq Hamza; Asif Hafiza Memoona; Shabbir Sumaira; Bilal Muhammad; Mulla Sikandar I; Franco Marcelo; Iqbal Hafiz M N,Adaptive immunity; Antibody titer; COVID-19; Cellular immunity; SARS-CoV-2; SARS-CoV-2 variants; Vaccination,10.1016/j.intimp.2021.108050
34924045,COVID-19 Antibody Testing as a Precondition for Employment: Ethical and Legal Considerations.,"Employers and governments are interested in the use of serological (antibody) testing to allow people to return to work before there is a vaccine for SARS-CoV-2. We articulate the preconditions needed for the implementation of antibody testing, including the role of the U.S. Food & Drug Administration.","The Journal of law, medicine & ethics : a journal of the American Society of Law, Medicine & Ethics",eng,2021,,,Gerke Sara; Katznelson Gali; Reiss Dorit; Shachar Carmel,ADA; Antibody Testing; COVID-19; Employment; Ethics; FDA; Law,10.1017/jme.2021.42
34607509,Recent findings and applications of biomedical engineering for COVID-19 diagnosis: a critical review.,"COVID-19 is one of the most severe global health crises that humanity has ever faced. Researchers have restlessly focused on developing solutions for monitoring and tracing the viral culprit, SARS-CoV-2, as vital steps to break the chain of infection. Even though biomedical engineering (BME) is considered a rising field of medical sciences, it has demonstrated its pivotal role in nurturing the maturation of COVID-19 diagnostic technologies. Within a very short period of time, BME research applied to COVID-19 diagnosis has advanced with ever-increasing knowledge and inventions, especially in adapting available virus detection technologies into clinical practice and exploiting the power of interdisciplinary research to design novel diagnostic tools or improve the detection efficiency. To assist the development of BME in COVID-19 diagnosis, this review highlights the most recent diagnostic approaches and evaluates the potential of each research direction in the context of the pandemic.",Bioengineered,eng,2021,12,,Bui Le Minh; Thi Thu Phung Huong; Ho Thi Thuy-Tien; Singh Vijai; Maurya Rupesh; Khambhati Khushal; Wu Chia-Ching; Uddin Md Jamal; Trung Do Minh; Chu Dinh Toi,COVID-19; CRISPR; RT-PCR; biomedical engineering; diagnosis; iNAAT; immunoassay; microfluidic devices,10.1080/21655979.2021.1987821
33301459,False-negative results of initial RT-PCR assays for COVID-19: A systematic review.,"A false-negative case of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection is defined as a person with suspected infection and an initial negative result by reverse transcription-polymerase chain reaction (RT-PCR) test, with a positive result on a subsequent test. False-negative cases have important implications for isolation and risk of transmission of infected people and for the management of coronavirus disease 2019 (COVID-19). We aimed to review and critically appraise evidence about the rate of RT-PCR false-negatives at initial testing for COVID-19. We searched MEDLINE, EMBASE, LILACS, as well as COVID-19 repositories, including the EPPI-Centre living systematic map of evidence about COVID-19 and the Coronavirus Open Access Project living evidence database. Two authors independently screened and selected studies according to the eligibility criteria and collected data from the included studies. The risk of bias was assessed using the Quality Assessment of Diagnostic Accuracy Studies (QUADAS-2) tool. We calculated the proportion of false-negative test results using a multilevel mixed-effect logistic regression model. The certainty of the evidence about false-negative cases was rated using the GRADE approach for tests and strategies. All information in this article is current up to July 17, 2020. We included 34 studies enrolling 12,057 COVID-19 confirmed cases. All studies were affected by several risks of bias and applicability concerns. The pooled estimate of false-negative proportion was highly affected by unexplained heterogeneity (tau-squared = 1.39; 90% prediction interval from 0.02 to 0.54). The certainty of the evidence was judged as very low due to the risk of bias, indirectness, and inconsistency issues. There is substantial and largely unexplained heterogeneity in the proportion of false-negative RT-PCR results. The collected evidence has several limitations, including risk of bias issues, high heterogeneity, and concerns about its applicability. Nonetheless, our findings reinforce the need for repeated testing in patients with suspicion of SARS-Cov-2 infection given that up to 54% of COVID-19 patients may have an initial false-negative RT-PCR (very low certainty of evidence). Protocol available on the OSF website: https://tinyurl.com/vvbgqya.",PloS one,eng,2020,,,Arevalo-Rodriguez Ingrid; Buitrago-Garcia Diana; Simancas-Racines Daniel; Zambrano-Achig Paula; Del Campo Rosa; Ciapponi Agustin; Sued Omar; Martinez-García Laura; Rutjes Anne W; Low Nicola; Bossuyt Patrick M; Perez-Molina Jose A; Zamora Javier,No Keywords,10.1371/journal.pone.0242958
33245685,CRISPR-based biosensing systems: a way to rapidly diagnose COVID-19.,"The outbreak of the emerging SARS-CoV-2 virus has highlighted the challenges of detecting viral infections, especially in resource-limited settings. The SARS-CoV-2 virus transmission chain is interrupted when screening and diagnosis can be performed on a large scale by identifying asymptomatic or moderately symptomatic patients. Diagnosis of COVID-19 with reverse transcription polymerase chain reaction (RT-PCR) has been limited due to inadequate access to complex, expensive equipment and reagents, which has impeded efforts to reduce the spread of virus transmission. Recently, the development of several diagnostic platforms based on the CRISPR-Cas system has reduced the dependence on RT-PCR. The first CRISPR-based diagnostic test for SARS-CoV-2 was recently approved by the U.S. Food and Drug Administration. The biosensing systems have several important features that make them suitable for point-of-care tests, including the speed of design and synthesis of each platform in less than a few days, an assay time of 1-2 h, and the cost of materials and reagents less than one dollar per test. The HUDSON-SHERLOCK and STOPCovid biosensing systems, as field-deployable and rapid diagnostic tests, can detect low-copy viruses in body fluids without nucleic acid extraction and with minimal equipment. In addition, Cas13-based treatment strategies could potentially be an effective antiviral strategy for the prevention and treatment of emerging pandemic viruses such as SARS-CoV-2. In this review, we describe recent advances in CRISPR-based diagnostic platforms with an emphasis on their use in the rapid diagnosis and potential treatment of COVID-19.",Critical reviews in clinical laboratory sciences,eng,2021,06,,Vatankhah Majid; Azizi Amir; Sanajouyan Langeroudi Anahita; Ataei Azimi Sajad; Khorsand Imaneh; Kerachian Mohammad Amin; Motaei Jamshid,COVID-19; CRISPR-Cas; SARS-CoV-2; biosensing platforms; diagnosis,10.1080/10408363.2020.1849010
32659413,Systematic review with meta-analysis of the accuracy of diagnostic tests for COVID-19.,"To collate the evidence on the accuracy parameters of all available diagnostic methods for detecting SARS-CoV-2. A systematic review with meta-analysis was performed. Searches were conducted in Pubmed and Scopus (April 2020). Studies reporting data on sensitivity or specificity of diagnostic tests for COVID-19 using any human biological sample were included. Sixteen studies were evaluated. Meta-analysis showed that computed tomography has high sensitivity (91.9% [89.8%-93.7%]), but low specificity (25.1% [21.0%-29.5%]). The combination of IgM and IgG antibodies demonstrated promising results for both parameters (84.5% [82.2%-86.6%]; 91.6% [86.0%-95.4%], respectively). For RT-PCR tests, rectal stools/swab, urine, and plasma were less sensitive while sputum (97.2% [90.3%-99.7%]) presented higher sensitivity for detecting the virus. RT-PCR remains the gold standard for the diagnosis of COVID-19 in sputum samples. However, the combination of different diagnostic tests is highly recommended to achieve adequate sensitivity and specificity.",American journal of infection control,eng,2021,01,,Böger Beatriz; Fachi Mariana M; Vilhena Raquel O; Cobre Alexandre F; Tonin Fernanda S; Pontarolo Roberto,Coronavirus; Evidence; SARS-CoV-2; Sensitivity; Specificity,10.1016/j.ajic.2020.07.011
